"Version","ID","Age","Gender","A5","A7","A8","B","C"
"1","NK_1","10","FEMALE","100","86.666666666667","100","26.666666666667","100"
"2","NK_1","10","FEMALE","93.333333333333","86.666666666667","86.666666666667","66.666666666667","86.666666666667"
"1","NK_2","5","FEMALE","66.666666666667","66.666666666667","66.666666666667","46.666666666667","93.333333333333"
"2","NK_2","5","FEMALE","86.666666666667","66.666666666667","66.666666666667","46.666666666667","80"
"1","NK_3","5","MALE","73.333333333333","73.333333333333","66.666666666667","53.333333333333","73.333333333333"
"2","NK_3","5","MALE","73.333333333333","60","60","46.666666666667","100"
"1","NK_4","13","FEMALE","100","93.333333333333","86.666666666667","66.666666666667","100"
"2","NK_4","13","FEMALE","100","86.666666666667","80","66.666666666667","80"
"1","NK_5","11","MALE","80","73.333333333333","73.333333333333","40","86.666666666667"
"2","NK_5","11","MALE","66.666666666667","66.666666666667","53.333333333333","33.333333333333","73.333333333333"
"1","NK_6","8","FEMALE","66.666666666667","53.333333333333","53.333333333333","26.666666666667","80"
"2","NK_6","8","FEMALE","66.666666666667","46.666666666667","53.333333333333","26.666666666667","80"
"1","NK_7","8","FEMALE","73.333333333333","60","66.666666666667","40","73.333333333333"
"2","NK_7","8","FEMALE","66.666666666667","46.666666666667","53.333333333333","26.666666666667","80"
"1","NK_8","13","MALE","80","66.666666666667","73.333333333333","46.666666666667","60"
"2","NK_8","13","MALE","100","93.333333333333","80","53.333333333333","86.666666666667"
"1","NK_9","13","MALE","86.666666666667","66.666666666667","80","26.666666666667","86.666666666667"
"2","NK_9","13","MALE","80","66.666666666667","86.666666666667","46.666666666667","86.666666666667"
"1","NK_10","13","FEMALE","93.333333333333","80","73.333333333333","40","93.333333333333"
"2","NK_10","13","FEMALE","73.333333333333","60","66.666666666667","26.666666666667","73.333333333333"
"1","NK_11","13","MALE","100","86.666666666667","86.666666666667","46.666666666667","100"
"2","NK_11","13","MALE","100","93.333333333333","80","40","100"
"1","NK_12","13","FEMALE","80","66.666666666667","60","33.333333333333","86.666666666667"
"2","NK_12","13","FEMALE","80","80","66.666666666667","80","80"
"1","NK_13","13","FEMALE","86.666666666667","73.333333333333","93.333333333333","46.666666666667","100"
"2","NK_13","13","FEMALE","86.666666666667","86.666666666667","80","40","86.666666666667"
"1","NK_14","13","MALE","80","66.666666666667","60","46.666666666667","93.333333333333"
"2","NK_14","13","MALE","80","73.333333333333","66.666666666667","33.333333333333","100"
"1","NK_15","13","MALE","73.333333333333","53.333333333333","73.333333333333","26.666666666667","100"
"2","NK_15","13","MALE","86.666666666667","73.333333333333","80","46.666666666667","100"
"1","NK_16","12","MALE","73.333333333333","66.666666666667","66.666666666667","26.666666666667","100"
"2","NK_16","12","MALE","86.666666666667","80","80","46.666666666667","80"
"1","NK_17","12","FEMALE","86.666666666667","73.333333333333","86.666666666667","46.666666666667","100"
"2","NK_17","12","FEMALE","100","93.333333333333","86.666666666667","53.333333333333","93.333333333333"
"1","NK_18","12","MALE","100","86.666666666667","73.333333333333","53.333333333333","100"
"2","NK_18","12","MALE","100","93.333333333333","93.333333333333","46.666666666667","93.333333333333"
"1","NK_19","12","FEMALE","80","80","100","40","100"
"2","NK_19","12","FEMALE","93.333333333333","100","100","93.333333333333","93.333333333333"
"1","NK_20","12","MALE","100","93.333333333333","93.333333333333","60","93.333333333333"
"2","NK_20","12","MALE","100","100","73.333333333333","53.333333333333","100"
"1","NK_21","12","FEMALE","100","100","86.666666666667","66.666666666667","93.333333333333"
"2","NK_21","12","FEMALE","93.333333333333","86.666666666667","86.666666666667","46.666666666667","100"
"1","NK_22","12","MALE","80","73.333333333333","66.666666666667","40","100"
"2","NK_22","12","MALE","80","73.333333333333","73.333333333333","33.333333333333","86.666666666667"
"1","NK_23","12","FEMALE","73.333333333333","73.333333333333","66.666666666667","33.333333333333","100"
"2","NK_23","12","FEMALE","73.333333333333","73.333333333333","66.666666666667","26.666666666667","93.333333333333"
"1","NK_24","12","MALE","93.333333333333","93.333333333333","80","40","100"
"2","NK_24","12","MALE","93.333333333333","93.333333333333","86.666666666667","40","86.666666666667"
"1","NK_25","12","FEMALE","100","100","93.333333333333","46.666666666667","100"
"2","NK_25","12","FEMALE","100","93.333333333333","100","53.333333333333","93.333333333333"
"1","NK_26","11","MALE","66.666666666667","66.666666666667","66.666666666667","20","100"
"2","NK_26","11","MALE","80","66.666666666667","66.666666666667","26.666666666667","100"
"1","NK_27","11","FEMALE","100","86.666666666667","86.666666666667","46.666666666667","100"
"2","NK_27","11","FEMALE","53.333333333333","100","93.333333333333","53.333333333333","100"
"1","NK_28","11","MALE","80","80","80","40","100"
"2","NK_28","11","MALE","80","80","66.666666666667","40","100"
"1","NK_29","11","FEMALE","86.666666666667","73.333333333333","86.666666666667","33.333333333333","93.333333333333"
"2","NK_29","11","FEMALE","100","86.666666666667","80","46.666666666667","100"
"1","NK_30","11","MALE","86.666666666667","93.333333333333","93.333333333333","53.333333333333","100"
"2","NK_30","11","MALE","80","86.666666666667","86.666666666667","40","100"
"1","NK_31","11","FEMALE","100","100","93.333333333333","40","100"
"2","NK_31","11","FEMALE","93.333333333333","86.666666666667","93.333333333333","46.666666666667","100"
"1","NK_32","11","MALE","80","86.666666666667","80","33.333333333333","100"
"2","NK_32","11","MALE","80","73.333333333333","73.333333333333","40","100"
"1","NK_33","11","FEMALE","86.666666666667","73.333333333333","80","33.333333333333","100"
"2","NK_33","11","FEMALE","73.333333333333","73.333333333333","73.333333333333","26.666666666667","100"
